lemma,article,category
speler,de,zaaknaam;persoonsnaam;abstract
resultaat,het,abstract
vorm,de,abstract
quote,de,abstract
miljard,het,abstract
programma,het,abstract
president,de,persoonsnaam
gebied,het,zaaknaam;abstract
avond,de,abstract
overheid,de,verzamelnaam
rol,de,zaaknaam;abstract
nummer,het,abstract
september,de,abstract
helft,de,zaaknaam;abstract
succes,het,abstract
persoon,de,persoonsnaam
algemeen,het,verzamelnaam;abstract
aandeel,het,abstract
juni,de,abstract
burgemeester,de,persoonsnaam;abstract
gebruik,het,abstract
mei,de,abstract
gemeenschap,de,verzamelnaam;abstract
periode,de,abstract
kamer,de,zaaknaam;abstract
nacht,de,abstract
januari,de,abstract
straat,de,zaaknaam
acht,de,zaaknaam;abstract
rest,de,abstract
radio,de,zaaknaam
dochter,de,zaaknaam;persoonsnaam;abstract
oorlog,de,abstract
oktober,de,abstract
product,het,zaaknaam;abstract
parlement,het,verzamelnaam
grond,de,zaaknaam;verzamelnaam;stofnaam;abstract
informatie,de,verzamelnaam
eeuw,de,abstract
project,het,abstract
slachtoffer,het,persoonsnaam;abstract
basis,de,zaaknaam;abstract
weekend,het,abstract
kaart,de,zaaknaam
verordening,de,abstract
juli,de,abstract
actie,de,zaaknaam;abstract
toekomst,de,abstract
klant,de,persoonsnaam
gevoel,het,abstract
organisatie,de,abstract
fout,de,abstract
lijst,de,zaaknaam;abstract
duur,de,abstract
klaar,het,stofnaam
wagen,de,zaaknaam;abstract
zwart,het,persoonsnaam;verzamelnaam;stofnaam;abstract
deur,de,zaaknaam
heer,de,persoonsnaam
vrijdag,de,abstract
situatie,de,abstract
verschil,het,abstract
top,de,zaaknaam
antwoord,het,abstract
maart,de,abstract
april,de,abstract
december,de,abstract
maatregel,de,abstract
verkiezing,de,abstract
rekening,de,zaaknaam;abstract
finale,de,abstract
peter,de,persoonsnaam;abstract
doel,het,zaaknaam;abstract
kost,de,verzamelnaam
start,de,abstract
hart,het,zaaknaam;stofnaam;abstract
premier,de,persoonsnaam
woning,de,zaaknaam
aandacht,de,abstract
koning,de,zaaknaam;persoonsnaam
krant,de,zaaknaam
wet,de,abstract
rust,de,abstract
tekst,de,abstract
centrum,het,abstract
volk,het,verzamelnaam
november,de,abstract
contact,het,abstract
lokaal,het,zaaknaam
trainer,de,zaaknaam;persoonsnaam
ronde,de,abstract
werknemer,de,persoonsnaam
vlak,het;de,zaaknaam;abstract
dollar,de,abstract
gebouw,het,zaaknaam
kerk,de,zaaknaam;verzamelnaam;abstract
ruimte,de,zaaknaam;abstract
doelpunt,het,abstract
das,de,zaaknaam
lijn,de,zaaknaam
voorbeeld,het,zaaknaam;abstract
taal,de,abstract
richting,de,abstract
unie,de,abstract
band,de,zaaknaam
maandag,de,abstract
niveau,het,abstract
mogelijkheid,de,abstract
collega,de,persoonsnaam
systeem,het,abstract
voorstel,het,abstract
oplossing,de,abstract
arm,de,zaaknaam
jongen,de,persoonsnaam
cijfer,het,zaaknaam;abstract
militair,de,persoonsnaam
controle,de,abstract
ziekenhuis,het,zaaknaam;verzamelnaam;abstract
reactie,de,abstract
inwoner,de,persoonsnaam
wit,het,zaaknaam;persoonsnaam;verzamelnaam;stofnaam;abstract
voorkomen,het,abstract
gesprek,het,abstract
regio,de,abstract
buurt,de,abstract
augustus,de,abstract
onderwijs,het,verzamelnaam;abstract
baan,de,zaaknaam;abstract
steun,de,zaaknaam
kilometer,de,abstract
ervaring,de,abstract
leider,de,persoonsnaam
provincie,de,abstract
kop,de,zaaknaam;stofnaam
winst,de,abstract
internet,het,abstract
economie,de,abstract
strijd,de,abstract
keuze,de,abstract
geschiedenis,de,abstract
directeur,de,persoonsnaam
sport,de,abstract
stap,de,abstract
winkel,de,zaaknaam;abstract
richtlijn,de,abstract
gezin,het,verzamelnaam
graad,de,abstract
team,het,verzamelnaam
info,de,verzamelnaam
voetbal,het;de,zaaknaam;abstract
februari,de,abstract
akkoord,het,zaaknaam;abstract
overlijden,het,abstract
rijk,het,abstract
actief,het,verzamelnaam;abstract
kracht,de,abstract
broer,de,zaaknaam;persoonsnaam;verzamelnaam;abstract
voet,de,zaaknaam;abstract
rechter,de,zaaknaam;persoonsnaam
relatie,de,abstract
ontwikkeling,de,abstract
vertrouwen,het,abstract
beslissing,de,abstract
lidstaat,de,abstract
regel,de,abstract
woensdag,de,abstract
macht,de,abstract
brief,de,zaaknaam
plek,de,zaaknaam
reeks,de,verzamelnaam
orde,de,abstract
mening,de,abstract
schip,het,zaaknaam;verzamelnaam
politicus,de,persoonsnaam
bevolking,de,verzamelnaam
geheel,het,abstract
hoogte,de,abstract
last,de,zaaknaam
liefde,de,abstract
leerling,de,persoonsnaam
beleid,het,abstract
cultuur,de,abstract
bestuur,het,verzamelnaam;abstract
hulp,de,zaaknaam;persoonsnaam;abstract
gezicht,het,zaaknaam
bezoek,het,abstract
donderdag,de,abstract
burger,de,persoonsnaam
kunst,de,verzamelnaam;abstract
bed,het,zaaknaam
duizend,het,abstract
samenwerking,de,abstract
zee,de,zaaknaam;verzamelnaam;abstract
beroep,het,abstract
stand,de,zaaknaam;abstract
kennis,de,persoonsnaam;abstract
bezoeker,de,persoonsnaam
opdracht,de,abstract
slag,de,abstract
waard,de,persoonsnaam
universiteit,de,zaaknaam;abstract
verleden,het,abstract
waarde,de,abstract
brand,de,abstract
bal,het;de,zaaknaam;abstract
activiteit,de,abstract
sector,de,abstract
treffen,het,abstract
bron,de,zaaknaam
hoop,de,zaaknaam;abstract
dorp,het,zaaknaam
dinsdag,de,abstract
termijn,de,abstract
bedoeling,de,abstract
boom,de,abstract
voordeel,het,abstract
leeftijd,de,verzamelnaam;abstract
lichaam,het,zaaknaam
negen,de,zaaknaam
website,de,abstract
kwaliteit,de,abstract
match,de,abstract
tafel,de,zaaknaam
maat,de,persoonsnaam;abstract
contract,het,zaaknaam;abstract
kritiek,de,abstract
discussie,de,abstract
kleur,de,zaaknaam
feest,het,abstract
leger,het,verzamelnaam
gang,de,zaaknaam;verzamelnaam;abstract
gegeven,het,abstract
lied,het,abstract
museum,het,zaaknaam;verzamelnaam;abstract
bang,de,abstract
vriendin,de,persoonsnaam
crisis,de,abstract
geweld,het,abstract
wijze,de,persoonsnaam;abstract
bericht,het,zaaknaam
onderneming,de,abstract
bus,de,zaaknaam;verzamelnaam;abstract
kandidaat,de,persoonsnaam
bedrag,het,abstract
hond,de,zaaknaam;persoonsnaam;stofnaam
verslag,het,zaaknaam;abstract
risico,het;de,abstract
wilde,de,persoonsnaam
bestuurder,de,persoonsnaam
meerderheid,de,abstract
spraak,de,abstract
veld,het,zaaknaam
beurs,de,zaaknaam
trein,de,zaaknaam
advies,het,abstract
advocaat,de,persoonsnaam;stofnaam
student,de,persoonsnaam
studie,de,zaaknaam;abstract
site,de,zaaknaam
twaalf,de,zaaknaam
uitspraak,de,abstract
voorwaarde,de,abstract
rug,de,zaaknaam
lucht,de,zaaknaam;stofnaam;abstract
initiatief,het,abstract
proces,het,abstract
partner,de,persoonsnaam
moord,de,abstract
besluit,het,abstract
debat,het,abstract
omgeving,de,abstract
gast,de,persoonsnaam
aanslag,de,abstract
moeite,de,abstract
kwestie,de,abstract
functie,de,abstract
dader,de,persoonsnaam
dossier,het,verzamelnaam
klasse,de,abstract
invloed,de,abstract
job,de,abstract
bewoner,de,persoonsnaam
gek,de,persoonsnaam
koers,de,abstract
gevaar,het,abstract
hotel,het,zaaknaam;abstract
personeel,het,verzamelnaam
dak,het,zaaknaam
rechtbank,de,abstract
kader,het;de,abstract
productie,de,abstract
midden,het,abstract
groet,de,abstract
verkeer,het,verzamelnaam;abstract
toepassing,de,abstract
groei,de,abstract
instelling,de,abstract
verband,het,zaaknaam;abstract
klacht,de,abstract
indruk,de,zaaknaam;abstract
cel,de,zaaknaam
post,de,verzamelnaam;abstract
vakbond,de,verzamelnaam;abstract
schuld,de,abstract
vakantie,de,abstract
terrein,het,zaaknaam
kabinet,het,verzamelnaam
vereniging,de,verzamelnaam;abstract
ministerie,het,abstract
moslim,de,persoonsnaam
leiding,de,zaaknaam;verzamelnaam;abstract
rij,de,zaaknaam
vuur,het,zaaknaam;abstract
muur,de,zaaknaam;abstract
maatschappij,de,abstract
eigenaar,de,persoonsnaam
papier,het,zaaknaam;stofnaam
positie,de,abstract
spoor,het;de,zaaknaam;abstract
verdrag,het,abstract
gebrek,het,abstract
afstand,de,abstract
onderwerp,het,abstract
schrijver,de,persoonsnaam;abstract
afspraak,de,abstract
station,het,zaaknaam;abstract
verkoop,de,abstract
agent,de,zaaknaam;persoonsnaam;abstract
pijn,de,abstract
dame,de,zaaknaam;persoonsnaam
vrijheid,de,abstract
haag,de,zaaknaam
poging,de,abstract
taak,de,abstract
geheim,het,abstract
beweging,de,abstract
boodschap,de,zaaknaam;abstract
veiligheid,de,abstract
zaal,de,zaaknaam
justitie,de,abstract
wijn,de,zaaknaam;stofnaam
hoofdstad,de,zaaknaam
telefoon,de,zaaknaam;abstract
tweede,het;de,abstract
jeugd,de,abstract
straf,de,abstract
verklaring,de,zaaknaam;abstract
verlies,het,abstract
medewerker,de,persoonsnaam
buitenland,het,abstract
as,de,zaaknaam
samenleving,de,verzamelnaam;abstract
zege,de,abstract
opleiding,de,abstract
omzet,de,abstract
schade,de,abstract
mevrouw,de,persoonsnaam
negatief,het,zaaknaam;abstract
restaurant,het,zaaknaam;verzamelnaam;abstract
mond,de,zaaknaam
energie,de,abstract
effect,het,zaaknaam;abstract
dans,de,abstract
reis,de,abstract
kwaad,het,abstract
bureau,het,zaaknaam;abstract
eiland,het,zaaknaam
wapen,het,zaaknaam
overwinning,de,abstract
overeenkomst,de,zaaknaam;abstract
computer,de,zaaknaam
geluk,het,abstract
aarde,de,zaaknaam
tiental,het,verzamelnaam
beschikking,de,abstract
belasting,de,abstract
alternatief,het,abstract
vlucht,de,abstract
hoek,de,zaaknaam;abstract
tuin,de,zaaknaam
zwak,het,abstract
regen,de,zaaknaam
gat,het,zaaknaam
dokter,de,persoonsnaam
versie,de,abstract
boete,de,abstract
elf,de,zaaknaam;abstract
materiaal,het,zaaknaam;verzamelnaam;abstract
thema,het;de,abstract
sfeer,de,abstract
rapport,het,zaaknaam
tegenstander,de,persoonsnaam
kampioen,de,persoonsnaam
respect,het,abstract
tip,de,zaaknaam;abstract
middag,de,abstract
televisie,de,zaaknaam
principe,het,abstract
baas,de,persoonsnaam
wijk,de,abstract
fiets,de,zaaknaam
provinciaal,de,persoonsnaam
gevangenis,de,zaaknaam;verzamelnaam;abstract
afdeling,de,abstract
wind,de,zaaknaam
ideaal,het,abstract
journalist,de,persoonsnaam
aanleiding,de,abstract
winnaar,de,persoonsnaam;abstract
kunstenaar,de,persoonsnaam
betrekking,de,abstract
vliegtuig,het,zaaknaam
plezier,het,abstract
prestatie,de,abstract
omstandigheid,de,abstract
type,het,abstract
liberaal,de,persoonsnaam
allochtoon,de,persoonsnaam
blok,het;de,zaaknaam;verzamelnaam;abstract
westen,het,abstract
park,het,zaaknaam
verantwoordelijkheid,de,abstract
zak,de,zaaknaam
streng,de,zaaknaam
arts,de,persoonsnaam
droom,de,abstract
generatie,de,abstract
seconde,de,abstract
favoriet,de,persoonsnaam
oorzaak,de,abstract
baby,de,persoonsnaam
manager,de,persoonsnaam
brandweer,de,verzamelnaam;abstract
plaat,de,zaaknaam
deelnemer,de,persoonsnaam
bijdrage,de,zaaknaam;abstract
blauw,het,abstract
meneer,de,persoonsnaam
fan,de,zaaknaam;persoonsnaam
prins,de,persoonsnaam
vermoeden,het,abstract
procedure,de,abstract
bewijs,het,zaaknaam;abstract
soldaat,de,zaaknaam;persoonsnaam
roman,de,zaaknaam;abstract
werkgever,de,persoonsnaam;abstract
koffie,de,zaaknaam;stofnaam;abstract
campagne,de,verzamelnaam
investering,de,abstract
angst,de,abstract
maximum,het,abstract
illegaal,de,persoonsnaam
aanval,de,abstract
pagina,de,zaaknaam
tentoonstelling,de,abstract
verandering,de,abstract
training,de,abstract
natuur,de,abstract
knap,de,abstract
dief,de,persoonsnaam
geest,de,abstract
overleg,het,abstract
blad,het,zaaknaam
coach,de,zaaknaam;persoonsnaam
dom,de,zaaknaam;abstract
huwelijk,het,abstract
set,de,abstract
auteur,de,persoonsnaam
voorsprong,de,abstract
karakter,het,abstract
bloed,het,stofnaam
interview,het,zaaknaam;abstract
smaak,de,abstract
werking,de,abstract
hout,het,zaaknaam;verzamelnaam;stofnaam
gerecht,het,zaaknaam;verzamelnaam
waarheid,de,abstract
val,de,zaaknaam;abstract
voertuig,het,zaaknaam;abstract
netwerk,het,zaaknaam;abstract
zuiden,het,abstract
pak,het;de,zaaknaam;stofnaam;abstract
scherp,het,zaaknaam
begrip,het,abstract
eis,de,abstract
ster,de,zaaknaam
kantoor,het,zaaknaam;verzamelnaam;abstract
conclusie,de,abstract
competitie,de,abstract
keuken,de,zaaknaam;verzamelnaam;abstract
toestand,de,abstract
consument,de,persoonsnaam
zekerheid,de,abstract
toegang,de,abstract
operatie,de,abstract
democratie,de,abstract
stijl,de,abstract
vergadering,de,abstract
festival,het,abstract
combinatie,de,abstract
bloem,de,zaaknaam;verzamelnaam;stofnaam;abstract
di,de,abstract
concert,het,abstract
donker,het,abstract
fles,de,zaaknaam
mama,de,persoonsnaam
oor,het,zaaknaam
ochtend,de,abstract
motor,de,zaaknaam;abstract
standpunt,het,abstract
vrachtwagen,de,zaaknaam;abstract
islam,de,abstract
directie,de,verzamelnaam
bord,het,zaaknaam
twijfel,de,abstract
vergelijking,de,abstract
ontslag,het,abstract
serie,de,verzamelnaam
conflict,het,abstract
doelman,de,persoonsnaam
paard,het,zaaknaam;persoonsnaam;stofnaam;abstract
behandeling,de,abstract
kust,de,zaaknaam
bier,het,zaaknaam;stofnaam
schepen,de,persoonsnaam
kern,de,zaaknaam
hoeveelheid,de,verzamelnaam
aanpak,de,abstract
link,de,abstract
noorden,het,abstract
acteur,de,persoonsnaam
gedrag,het,abstract
teken,het,zaaknaam;abstract
berg,de,zaaknaam;abstract
bouw,de,abstract
trots,de,abstract
neus,de,zaaknaam
onderhandeling,de,abstract
ambtenaar,de,persoonsnaam
forum,het,abstract
talent,het,persoonsnaam;abstract
voorstelling,de,abstract
winter,de,zaaknaam;abstract
opzicht,het,abstract
ogenblik,het,abstract
fase,de,abstract
test,de,abstract
el,de,abstract
ton,de,zaaknaam
beurt,de,abstract
schoen,de,zaaknaam
vers,het,zaaknaam
chauffeur,de,persoonsnaam
autoriteit,de,abstract
loon,het,abstract
vlees,het,zaaknaam;stofnaam
belofte,de,abstract
woordvoerder,de,persoonsnaam
concurrentie,de,abstract
renner,de,persoonsnaam
element,het,zaaknaam;abstract
brug,de,zaaknaam
fonds,het,abstract
gelegenheid,de,abstract
instantie,de,abstract
getuige,de,persoonsnaam
katholiek,de,persoonsnaam
milieu,het,abstract
lezer,de,zaaknaam;persoonsnaam;abstract
raam,het,zaaknaam
vrede,de,abstract
aanbod,het,abstract
vlot,het,zaaknaam
redacteur,de,persoonsnaam
bond,de,verzamelnaam;abstract
inhoud,de,abstract
behoefte,de,abstract
verwachting,de,abstract
vinger,de,zaaknaam
podium,het,zaaknaam
gemeenteraad,de,verzamelnaam
klas,de,abstract
tegenstelling,de,abstract
brood,het,zaaknaam;verzamelnaam;stofnaam;abstract
wereldoorlog,de,abstract
snelheid,de,abstract
verjaardag,de,abstract
kiezer,de,persoonsnaam
pensioen,het,abstract
belegger,de,persoonsnaam;abstract
norm,de,abstract
merk,het,zaaknaam
uitvoer,de,abstract
bescherming,de,abstract
topic,het;de,abstract
uitzondering,de,abstract
verzoek,het,abstract
vzw,de,abstract
camera,de,zaaknaam
boot,de,zaaknaam;verzamelnaam;abstract
commentaar,het;de,abstract
begroting,de,abstract
geluid,het,abstract
ei,het;de,zaaknaam;persoonsnaam;stofnaam
kleed,het,zaaknaam;verzamelnaam;abstract
categorie,de,verzamelnaam;abstract
show,de,abstract
luchthaven,de,zaaknaam;abstract
luik,het,zaaknaam;abstract
selectie,de,verzamelnaam;abstract
studio,de,zaaknaam
kus,de,abstract
wetenschap,de,abstract
olie,de,zaaknaam;stofnaam;abstract
inkomen,het,abstract
drug,de,stofnaam
stoel,de,zaaknaam
document,het,zaaknaam
vogel,de,zaaknaam;persoonsnaam;verzamelnaam
effectief,het,abstract
detail,het,zaaknaam;abstract
techniek,de,abstract
commissaris,de,persoonsnaam
werkelijkheid,de,abstract
kat,de,zaaknaam;persoonsnaam;abstract
international,de,persoonsnaam
wild,het,zaaknaam;verzamelnaam;stofnaam
gewest,het,zaaknaam
traditie,de,abstract
omroep,de,abstract
argument,het,abstract
adres,het,abstract
figuur,het;de,abstract
haven,de,zaaknaam;abstract
afscheid,het,abstract
visie,de,abstract
voorbereiding,de,abstract
editie,de,zaaknaam;abstract
standaard,de,abstract
locatie,de,abstract
trouw,de,abstract
oppervlakte,de,abstract
rit,de,abstract
maal,het;de,zaaknaam;abstract
oppositie,de,abstract
betekenis,de,abstract
ongeluk,het,abstract
streek,de,abstract
gebeurtenis,de,abstract
redactie,de,abstract
uitleg,de,abstract
klap,de,abstract
bui,de,abstract
inspanning,de,abstract
overname,de,abstract
troep,de,verzamelnaam
thuisploeg,de,verzamelnaam
buur,de,persoonsnaam
regeling,de,abstract
theater,het,zaaknaam;abstract
tekort,het,abstract
toestel,het,zaaknaam
goal,de,zaaknaam;abstract
wens,de,abstract
rand,de,zaaknaam;abstract
opmerking,de,zaaknaam;abstract
ambitie,de,abstract
extreem,het,abstract
kijker,de,zaaknaam;persoonsnaam
term,de,abstract
nood,de,abstract
spanning,de,abstract
fabriek,de,zaaknaam;abstract
arbeider,de,persoonsnaam
optie,de,abstract
oosten,het,abstract
uitbreiding,de,abstract
vervoer,het,zaaknaam;abstract
toon,de,abstract
gedicht,het,abstract
appartement,het,zaaknaam
houding,de,abstract
pot,de,zaaknaam
nederlaag,de,abstract
professor,de,persoonsnaam
uitslag,de,abstract
concurrent,de,persoonsnaam
koningin,de,zaaknaam;persoonsnaam
bod,het,abstract
album,het,zaaknaam
super,de,stofnaam
instituut,het,abstract
uitvoering,de,abstract
vermogen,het,abstract
ruzie,de,abstract
agenda,de,zaaknaam;abstract
analyse,de,abstract
wolk,de,zaaknaam
drank,de,zaaknaam;verzamelnaam;stofnaam
roos,de,zaaknaam;verzamelnaam;abstract
subsidie,het;de,abstract
voorkeur,de,abstract
bezit,het,zaaknaam;abstract
stijging,de,abstract
komst,de,abstract
supporter,de,persoonsnaam
vertrek,het,abstract
hoofdpunt,het,abstract
verhouding,de,abstract
scheidsrechter,de,persoonsnaam
structuur,de,abstract
papa,de,persoonsnaam
kwart,de,abstract
reclame,de,abstract
mobiel,het;de,zaaknaam
belangstelling,de,abstract
knie,de,zaaknaam;abstract
wijziging,de,abstract
gezondheid,de,abstract
oprichting,de,abstract
koop,de,zaaknaam;abstract
schilderij,het;de,zaaknaam
herinnering,de,abstract
interesse,de,abstract
fysiek,het;de,abstract
datum,het;de,abstract
fris,het;de,stofnaam
draad,de,zaaknaam
schat,de,verzamelnaam
doelstelling,de,abstract
meester,de,zaaknaam;persoonsnaam;abstract
haast,de,abstract
aanwezigheid,de,abstract
pc,de,zaaknaam;persoonsnaam
defensie,de,abstract
ring,de,zaaknaam
gemeentebestuur,het,abstract
aandeelhouder,de,persoonsnaam;abstract
ticket,het,zaaknaam
broek,het;de,zaaknaam
vak,het,abstract
complex,het,verzamelnaam;abstract
achtergrond,de,abstract
stichting,de,abstract
ramp,de,zaaknaam;abstract
geloof,het,abstract
seks,de,abstract
wezen,het,persoonsnaam
goud,het,verzamelnaam;stofnaam;abstract
beker,de,zaaknaam
gen,het,zaaknaam
exemplaar,het,zaaknaam;persoonsnaam
schouder,de,zaaknaam
temperatuur,de,abstract
grap,de,abstract
vet,het,zaaknaam;verzamelnaam;stofnaam
aspect,het,abstract
aflevering,de,abstract
industrie,de,verzamelnaam
onderzoeker,de,persoonsnaam
hemel,de,abstract
koninkrijk,het,abstract
uiterlijk,het,abstract
literatuur,de,verzamelnaam
inzet,de,abstract
bevoegdheid,de,abstract
golf,het;de,zaaknaam;abstract
cent,de,zaaknaam
record,het;de,abstract
passagier,de,persoonsnaam
republiek,de,abstract
kwartaal,het,abstract
evolutie,de,abstract
wetgeving,de,abstract
letter,de,abstract
eenheid,de,abstract
strategie,de,abstract
regisseur,de,persoonsnaam
stadsbestuur,het,verzamelnaam
vertegenwoordiger,de,persoonsnaam
artiest,de,persoonsnaam
hervorming,de,abstract
duel,het,abstract
college,het,verzamelnaam;abstract
scherm,het,zaaknaam
collectie,de,verzamelnaam
vaststelling,de,abstract
opvolger,de,persoonsnaam
verslaggever,de,persoonsnaam
theorie,de,abstract
budget,het,abstract
technologie,de,abstract
mail,de,abstract
methode,de,abstract
diefstal,de,abstract
aanzien,het,abstract
streven,het,abstract
onderhoud,het,abstract
bibliotheek,de,zaaknaam;verzamelnaam;abstract
vent,de,persoonsnaam
rivier,de,zaaknaam
paus,de,persoonsnaam
opening,de,zaaknaam;abstract
toerist,de,persoonsnaam
verrassing,de,abstract
machine,de,zaaknaam;abstract
instrument,het,zaaknaam
vlag,de,zaaknaam
aanpassing,de,abstract
formule,de,abstract
leraar,de,persoonsnaam
meid,de,persoonsnaam
incident,het,abstract
fractie,de,abstract
gedeelte,het,zaaknaam;abstract
kilo,het;de,abstract
stadion,het,zaaknaam
firma,de,abstract
crimineel,de,persoonsnaam
lijf,het,zaaknaam
uitdaging,de,abstract
permanent,de,zaaknaam
ondernemer,de,persoonsnaam
tand,de,zaaknaam
slaap,de,zaaknaam;abstract
vloer,de,zaaknaam
strand,het,zaaknaam
file,de,zaaknaam;abstract
big,de,zaaknaam
borst,de,zaaknaam
kanaal,het,zaaknaam
industrieel,de,persoonsnaam
aankoop,de,abstract
management,het,abstract
protest,het,abstract
sneeuw,de,stofnaam
kwartier,het,zaaknaam;persoonsnaam;abstract
gezelschap,het,verzamelnaam;abstract
stelling,de,zaaknaam;abstract
wil,de,abstract
mol,de,zaaknaam;persoonsnaam;abstract
zanger,de,persoonsnaam
signaal,het,abstract
zwemmen,het,abstract
video,de,zaaknaam
tijdschrift,het,zaaknaam
verlangen,het,abstract
grijs,het,abstract
oproep,de,abstract
producent,de,zaaknaam;persoonsnaam;abstract
landbouw,de,abstract
pad,het;de,zaaknaam;abstract
dr.,de,persoonsnaam
verdediger,de,persoonsnaam
tal,het,abstract
communicatie,de,abstract
are,de,abstract
verdediging,de,abstract
vijand,de,persoonsnaam;verzamelnaam;abstract
afloop,de,abstract
stemming,de,abstract
uitzending,de,abstract
concept,het,abstract
streep,de,zaaknaam
e-mail,de,abstract
regime,het,abstract
kruispunt,het,zaaknaam;abstract
evenement,het,abstract
landschap,het,abstract
enthousiast,de,persoonsnaam
vierkant,het,abstract
kampioenschap,het,abstract
potentieel,het,abstract
verdieping,de,zaaknaam;abstract
topper,de,persoonsnaam;abstract
beslag,het,verzamelnaam;stofnaam;abstract
huid,de,zaaknaam
kasteel,het,zaaknaam;verzamelnaam;stofnaam;abstract
munt,het;de,zaaknaam;stofnaam;abstract
rap,de,abstract
vorst,de,zaaknaam;persoonsnaam;abstract
wetenschapper,de,persoonsnaam
sterkte,de,abstract
leerkracht,de,persoonsnaam;abstract
plein,het,zaaknaam
verzet,het,abstract
overzicht,het,abstract
voedsel,het,verzamelnaam;abstract
gewicht,het,abstract
liter,de,abstract
evenwicht,het,abstract
beest,het;de,zaaknaam;persoonsnaam;abstract
trend,de,abstract
personage,het;de,persoonsnaam;abstract
buik,de,zaaknaam
staking,de,abstract
aard,de,abstract
lening,de,abstract
generaal,de,persoonsnaam
coalitie,de,abstract
schorsing,de,abstract
gebruiker,de,persoonsnaam
fusie,de,abstract
ontwerp,het,abstract
nat,het,stofnaam
organisator,de,persoonsnaam;abstract
massa,de,abstract
kapitaal,het,abstract
kast,de,zaaknaam
cadeau,het,zaaknaam
cursus,de,abstract
bom,de,zaaknaam
integratie,de,abstract
kerel,de,persoonsnaam
fietser,de,persoonsnaam
aanmerking,de,abstract
criterium,het,abstract
hoofdstuk,het,zaaknaam;abstract
kip,de,zaaknaam;stofnaam;abstract
aanleg,de,abstract
inzicht,het,abstract
bak,de,zaaknaam
opbrengst,de,abstract
mes,het,zaaknaam
aanvraag,de,abstract
single,het;de,zaaknaam;abstract
held,de,persoonsnaam
rente,de,abstract
grondwet,de,abstract
voetballer,de,persoonsnaam
bad,het,abstract
daad,de,abstract
opname,de,abstract
portefeuille,de,zaaknaam
nadeel,het,abstract
oorsprong,de,abstract
gedachte,de,abstract
schaal,de,abstract
geslacht,het,zaaknaam;abstract
